constructorStandingsId,raceId,constructorId,points,position,positionText,wins
6011,111,4,26,3,3,0
6010,111,6,32,2,2,1
6009,111,3,23,4,4,0
6008,111,1,51,1,1,2
6027,112,19,2,9,9,0
6026,112,7,3,8,8,0
6025,112,17,11,5,5,1
6024,112,18,0,10,10,0
6023,112,16,6,7,7,0
6022,112,15,8,6,6,0
6021,112,4,34,3,3,0
6020,112,6,48,2,2,2
6019,112,3,32,4,4,0
6018,112,1,51,1,1,2
6037,113,19,4,8,8,0
6036,113,7,3,9,9,0
6035,113,17,11,5,5,1
6034,113,18,0,10,10,0
6033,113,16,11,6,6,0
6032,113,15,8,7,7,0
6031,113,4,35,3,3,0
6030,113,6,64,1,1,3
6029,113,3,35,4,4,0
6028,113,1,63,2,2,2
6047,114,19,4,8,8,0
6046,114,7,3,9,9,0
6045,114,17,11,5,5,1
6044,114,18,0,10,10,0
6043,114,16,11,6,6,0
6042,114,15,8,7,7,0
6041,114,4,42,4,4,0
6040,114,6,71,2,2,3
6039,114,3,50,3,3,1
6038,114,1,73,1,1,2
6057,115,19,6,8,8,0
6056,115,7,4,9,9,0
6055,115,17,11,5,5,1
6054,115,18,0,10,10,0
6053,115,16,11,6,6,0
6052,115,15,8,7,7,0
6051,115,4,47,4,4,0
6050,115,6,85,1,1,4
6049,115,3,64,3,3,1
6048,115,1,76,2,2,2
6067,116,19,9,8,8,0
6066,116,7,4,9,9,0
6065,116,17,11,6,6,1
6064,116,18,0,10,10,0
6063,116,16,13,5,5,0
6062,116,15,9,7,7,0
6061,116,4,52,4,4,0
6060,116,6,95,1,1,4
6059,116,3,82,2,2,2
6058,116,1,76,3,3,2
6077,117,19,12,6,6,0
6076,117,7,5,9,9,0
6075,117,17,11,7,7,1
6074,117,18,0,10,10,0
6073,117,16,13,5,5,0
